,HBP,BRD_JSWCoke3Fresh,Coal Actual,BRD_PelletPP2Fresh,TAPNO,BRD_JSWCoke4Fresh,Permeabilty,Oxygen Flow,Heat_Load Q1,SLAG_RATE,Uptake3,HM_TI,Uptake2,HM_S,Uptake4,Raft,BRD_MIXEDMATERIAL,HM_MN,Coal Inj. SP,Heat_Load Q4,Uptake1,BRD_SmallSinter,Bottom DP,HM_SI,HM_TEMP,PROD_RATE
HBP,1.0,0.3528154676589321,0.11440938227793435,0.9999999999999956,0.45001998560302675,0.32371583791076725,0.2984411306040649,0.6724092331399522,0.2989522406714258,0.35011763746230656,-0.23512830823587472,0.006044273543686949,-0.2598462562832434,-0.209786733272364,-0.24886719638677507,0.45173650534692356,-0.3917281810323781,0.09478739294385627,0.3696051183275847,0.2748403057217843,-0.23723411716813733,-0.31045417254406504,0.5145803202063322,0.05972984331055124,-0.012143373745051306,0.6127923500102197
BRD_JSWCoke3Fresh,0.3528154676589321,1.0,-0.9485188417373727,,-0.30191192519879917,-1.0,0.4984873996116352,-0.7248486614974076,-0.7353118577099333,0.8696770455565089,0.9396964758534282,0.9999998038183676,0.6643803186087497,0.40205661127757664,0.972403915365353,0.8421229842401221,,-0.23073000910586336,-0.6418031034565752,0.3336716239166589,0.600238217121272,,0.17625133961654843,0.8191765818928356,-0.1826983512368724,-0.4405206689915397
Coal Actual,0.11440938227793435,-0.9485188417373727,1.0,-0.9999999999999977,-0.13632613508805233,-0.30943346430574226,-0.08984236596409677,0.07456459089778969,-0.3316220874476802,-0.18411576943682378,-0.05297485370086596,-0.003957886331094274,0.024044859976221186,0.13989791634242696,-0.04600313440026872,-0.2543586293006273,-0.21439453937326405,-0.05738036083263587,0.829362470808495,-0.22122349035471833,-0.03863716377986917,-0.02900950874076442,0.14416692915532997,-0.16980338460293945,-0.050590810205018634,0.22299971894010104
BRD_PelletPP2Fresh,0.9999999999999956,,-0.9999999999999977,1.0,-0.7071067811844038,-1.000000000000001,1.0000000000000002,-1.0000000000000056,-0.9999999999999989,-0.9999999999999943,-1.0,0.8063183327516148,-1.0,0.8320502943378444,-1.0000000000000002,-1.0000000000000029,,0.805613740871387,-1.0000000000000004,-1.0000000000000038,-1.0,,-1.0,0.791633273749738,0.33986816115402213,-0.9999999999999997
TAPNO,0.45001998560302675,-0.30191192519879917,-0.13632613508805233,-0.7071067811844038,1.0,0.7485973759469529,0.010971886478126603,0.5346879158198784,0.5141582260223289,0.6228120804927322,-0.07842294645062199,-0.04179507825356013,-0.1672324176752988,-0.3843708416117913,-0.10595933934794187,0.49255632426061907,-0.7806001370826321,0.00010467778221384674,0.034007838200262465,0.3851183582175351,-0.06282808546711106,-0.6312852589260576,0.3733898450775301,0.02085744904606196,-0.3179298749266184,0.35473415961463206
BRD_JSWCoke4Fresh,0.32371583791076725,-1.0,-0.30943346430574226,-1.000000000000001,0.7485973759469529,1.0,-0.2543738920519547,0.5995141216900435,0.49245153764571936,0.30854494481293004,-0.13257217597092438,-0.04735635067590149,-0.21579748358837159,-0.2887527711768721,-0.16481966159630485,0.5881406595004893,-0.5540555295747593,-0.12652961511724356,-0.08187477301376417,0.33103173632138166,-0.11093574590946391,-0.36938772113510765,0.3421820416020647,0.03460031613486281,-0.20568233369894118,0.38676304265481815
Permeabilty,0.2984411306040649,0.4984873996116352,-0.08984236596409677,1.0000000000000002,0.010971886478126603,-0.2543738920519547,1.0,-0.3803534574313022,0.10461990105304632,0.2865396992356652,0.3316730438041719,0.11085278333980418,0.3341513808320896,-0.13312293955767365,0.3386183275008964,-0.13290377628573533,-0.20715211064653585,0.29532083526306074,-0.2554762982654324,0.1576748868041548,0.29575558107936817,-0.14947488220267788,-0.12935283929085525,0.1837302703853422,0.06033587110970872,-0.39810930846200926
Oxygen Flow,0.6724092331399522,-0.7248486614974076,0.07456459089778969,-1.0000000000000056,0.5346879158198784,0.5995141216900435,-0.3803534574313022,1.0,0.31199981197096655,0.20330820399878707,-0.4729773821736708,-0.09235707411865067,-0.5099532839542673,-0.15683025353949612,-0.4879650076850315,0.7274759263427684,-0.346997044348101,-0.1200948170287565,0.45819217618850533,0.2011804164270167,-0.4412917351323932,-0.2231615382796455,0.5433571066720632,-0.06594833869144522,-0.10820416319976262,0.8823525968587702
Heat_Load Q1,0.2989522406714258,-0.7353118577099333,-0.3316220874476802,-0.9999999999999989,0.5141582260223289,0.49245153764571936,0.10461990105304632,0.31199981197096655,1.0,0.3538699160408416,0.08067868864918742,-0.05124615768879804,0.012430250090443509,-0.20090324783588362,0.07881206635484651,0.331761691029297,-0.4252340932785585,-0.062456896382709425,-0.22126645205977905,0.5848769370382209,0.09334473985231112,-0.3931770733954755,-0.022291791713232107,0.06460797934196649,-0.2250284026186288,0.13131813072646198
SLAG_RATE,0.35011763746230656,0.8696770455565089,-0.18411576943682378,-0.9999999999999943,0.6228120804927322,0.30854494481293004,0.2865396992356652,0.20330820399878707,0.3538699160408416,1.0,-0.04192019134335489,-0.054686558197371976,-0.11557495412805083,-0.2797982162243177,-0.04269605666668482,0.20317658057262714,-0.607704379498294,0.1634573225194036,-0.12013908008634584,0.3161246227285058,-0.06959063169823325,-0.37015536112016817,0.08702363275642712,0.022091859508368276,-0.26547195090359416,0.08691208055358095
